Cruise ,Station #,Species,Date of collection,Indiv. #,Standard length (mm),Fork length (mm),Total length (mm),Total weight (g),Sex,Liver weight (g),Gonad weight (g),Evisc. weight (g),Stomach weight (g),Stomach content weight (g),Musc. Tiss. Taken?,Comments,,,,
201802,213,S. scombrus,5/3/2018,3,173,181,195,46.5,?,0.7,NA,39.1,2.27,1.51,N,,,,,
201802,213,S. scombrus,5/3/2018,1,240,254,271,150,F,1.75,1.64,128.6,6.34,3.79,N,,,,,
201802,213,S. scombrus,3-May,2,240,253,268,160.8,M,2.15,5.06,135.3,5.32,3.04,N,,,,,
201802,213,S. scombrus,5/3/2018,3,248,261,279,205.2,M,2.33,18.51,167.4,2.98,1.06,N,Lots of parasite cysts on stomach formed some ? Weighing,,,,
201802,213,A. pseudoharengus,3/3/2018,1,187,20.3,226,26.7,M,1.21,0.13,87.6,2.87,1.73,N,,,,,
201802,215,S. scombrus,5/3/2018,1,248,263,278,179.3,M,2.29,2.63,153.9,5.77,3.7,N,Some contents mixed with blood weight innaccurate,,,,
201802,215,A. pseudoharengus,5/3/2018,1,209,222,248,137.4,F,2.46,1.01,125,2.39,0.56,N,,,,,
201802,216,A. pseudoharengus,5/3/2018,1,169,182,205,80.2,M*,1.56,0.06,71.3,1.73,0.83,N,"Large gash in belly/side, possible loss of blood vessels",,,,
201802,216,A. pseudoharengus,5/3/2018,2,243,256,280,257.5,F,4.19,21.17,221.6,2.23,0.81,N,,,,,
201802,216,A. pseudoharengus,5/3/2018,3,194,213,237,141.2,M,1.91,4.49,125.2,1.99,0.78,N,,,,,
201802,216,S. scombrus,5/4/2018,1,164,177,189,43.5,F,0.39,0.15,35.5,1.97,1.8,N,Caudal fin lobes eroded,,,,
201802,216,S. scombrus,5/4/2018,2,179,188,197,53.1,M,0.68,0.13,45.8,1.53,0.67,N,,,,,
201802,216,S. scombrus,5/4/2018,3,170,179,102,43.5,M,0.36,0.1,38.3,0.94,0.37,N,,,,,
201802,217,S. scombrus,5/4/2018,1,157,166,177,34.9,?,0.34,NA,30,0.94,0.31,N,Caudal fin lobes eroded,,,,
201802,217,S. scombrus,5/4/2018,2,156,167,173,34.9,M,0.37,0.08,30.7,0.67,0.2,N,Caudal fin lobes eroded,,,,
201802,217,S. scombrus,5/4/2018,3,159,169,178,40.3,?,0.64,NA,35.2,0.74,0.17,N,,,,,
201802,217,A. pseudoharengus,5/3/2018,1*,162,176,203,65.8,F,0.85,0.33,39.8,1.47,0.53,N,"Large gash in belly/side, possible loss of blood vessels",,,,
201802,217,A. pseudoharengus,5/3/2018,2,194,208,233,106.2,M?,1.34,0.1,79.1,1.65,0.46,N,,,,,
201802,217,A. pseudoharengus,5/3/2018,3*,187,203,223,95,M?,1.32,0.11,87.3,1.54,0.59,N,"Large gash in belly/side, possible loss of blood vessels",,,,
201802,218,A. pseudoharengus,3/3/2018,3,202,217,243,135.2,M*,1.11,0.18,121.8,2.9,1.62,N,"Caleb: 1.01 is extra value in a separate column with no. Large gash in belly/side, possible loss of blood vessels",,,,
201802,218,S. scombrus,5/3/2018,1,236,249,244,164.4,F,2.82,2.5,138.7,5,1.8,N,,,,,
201802,218,S. scombrus,5/3/2018,2,245,258,275,163.4,F,2.99,5.55,140,3.63,1.47,N,,,,,
201802,218,S. scombrus,5/3/2018,3,251,NA,NA,166,F,2.96,1.66,143.5,4.29,1.32,N,Most of caudal fin gone,,,,
201802,218,A. pseudoharengus,5/3/2018,1,203,219,243,132.8,M*,2.21,0.17,118.6,3.69,2.19,N,"I think M, tough to tell w/ small gonads.",,,,
201802,218,A. pseudoharengus,5/3/2018,2,187,203,227,105.5,M*,1.99,0.11,92.9,2,0.89,N,"Caleb: value of 1.62 on the side not labeled. I think M, tough to tell w/ small gonads.",,,,
201802,218,A. aestivalis,5/4/2018,1,182,194,214,86.8,M,1.02,0.94,74.4,4.5,3.2,N,,,,,"Standard length, fork length, and total length in cm"
201802,218,A. aestivalis,5/4/2018,2,199,211,235,122.7,M,3.09,1.45,106.4,3.72,2.15,N,,,,,"Standard length, fork length, and total length in cm"
201802,218,A. aestivalis,5/4/2018,3,189,205,227,127,M,2.62,3.39,106.4,3.54,2.1,N,,,,,"Standard length, fork length, and total length in cm"
201802,218,C. harengus,5/4/2018,1,217,235,232,119.3,F,1.24,0.62,107.8,2.78,0.78,N,,,,,"Standard length, fork length, and total length in cm"
201802,218,C. harengus,5/4/2018,2,219,233,256,134.2,F,1.82,1.12,121.5,2.65,1.29,N,,,,,"Standard length, fork length, and total length in cm"
201802,218,C. harengus,5/4/2018,3,210,223,245,125,F,1.35,0.75,111.9,2.55,1.02,N,,,,,"Standard length, fork length, and total length in cm"
201802,222,A. pseudoharengus,5/3/2018,1,201,206,239,141.7,F,2.52,0.93,123.5,5.9,4.06,N,,,,,
201802,223,S. scombrus,3/4/2018,1,171,179,191,52,?,1.14,NA,44,1.77,0.67,N,,,,,
201802,223,S. scombrus,3/4/2018,2,172,182,191,51.4,M,0.9,0.09,44.2,2.08,1.31,N,,,,,
201802,223,S. scombrus,3/4/2018,3,170,180,192,58.2,M,0.79,0.13,46.9,2.57,1.47,N,,,,,
201802,230,C. harengus,5/4/2018,1,224,237,261,129.6,M,1.18,0.58,112.5,7.48,5.65,N,Lacerated flank,,,,
201802,230,C. harengus,5/4/2018,2,237,253,278,179.5,F,3.82,27.78,140.1,2.84,0.63,N,"Forgot to date subtracted weight of empty stomach from full. Large gash in belly/side, possible loss of blood vessels",,,,
201802,230,C. harengus,5/4/2018,3,238,252,278,173.3,F,3.02,3.58,151.8,5.12,2.69,N,,,,,
201802,236,C. harengus,5/6/2018,1,216,229,248,126.1,F,1.51,0.73,114.9,2.17,0.96,N,,,,,
201802,236,C. harengus,5/6/2018,2,215,230,250,147.1,F,3.4,0.95,126.8,1.42,0.18,N,,,,,
201802,236,C. harengus,5/6/2018,3,218,233,254,138.5,F,1.43,0.69,117.1,11.1,9.24,N,,,,,
201802,236,A. pseudoharengus,5/6/2018,1,202,214,238,39.2,M,2.12,2.37,124,1.84,0.34,N,,,,,
201802,236,A. pseudoharengus,5/6/2018,2*,204,NA,229,134.4,M,1.84,0.16,120.2,3.22,1.86,N,"Lobes of caudal fin severed. Large gash in belly/side, possible loss of blood vessels",,,,
201802,236,A. pseudoharengus,5/6/2018,3*,199,NA,218,121.1,M,1.95,0.15,110.1,1.88,0.69,N,"Lobes of caudal fin severed. Large gash in belly/side, possible loss of blood vessels",,,,
201802,237,A. pseudoharengus,5/6/2018,3,219,234,260,180.6,F,3.61,7.17,160.2,3.7,2.15,N,Got a little EtOH on it before weighing,,,,
201802,237,A. pseudoharengus,5/6/2018,1,189,202,221,107.3,F,1.57,0.99,96.7,1.83,0.45,N,,,,,
201802,237,A. pseudoharengus,5/6/2018,2,203,218,244,139.1,M,2.45,0.2,125.8,3.11,1.68,N,,,,,
201802,239,A. pseudoharengus,3/6/2018,1,198,211,233,131.7,M,2.7,0.19,116.5,2.09,1.08,N,,,,,
201802,239,A. pseudoharengus,3/6/2018,2,223,238,263,210.8,F,5.55,14.3,179.7,2.91,1.2,N,,,,,
201802,239,A. pseudoharengus,3/6/2018,3,214,228,255,178.6,M,1.87,9.25,134.4,2.55,0.94,N,,,,,
201802,239,A. aestivalis,5/6/2018,1,193,207,228,110.5,M,2.07,1.5,97.8,1.88,0.63,N,,,,,
201802,239,A. aestivalis,5/6/2018,2,187,200,221,93.7,F,2.08,0.35,82.6,1.7,0.63,N,,,,,
201802,239,A. aestivalis,5/6/2018,3,172,184,204,67.8,F,1.03,0.57,60.7,1.29,0.68,N,,,,,
201802,239,S. scombrus,5/6/2018,1,241,251,271,166.6,M,1.79,11.26,140.8,2.54,0.43,N,,,,,
201802,239,S. scombrus,5/6/2018,2,242,254,271,154.6,F,2.61,4.15,134.9,3.18,1.24,N,,,,,
201802,239,S. scombrus,5/6/2018,3,254,265,283,172.7,M,2,7.1,150.7,3.05,0.84,N,,,,,
201802,239,C. harengus,3/6/2018,1,256,271,298,205.6,F,3.08,330,183.9,2.35,NA,N,Fogot to full record. 1.81 subtracted weight of empty stomach from.,,,,
201802,240,C. harengus,5/6/2018,1,238,254,277,219.1,M,1.01,58,152.7,1.91,0.44,N,,,,,
201802,240,C. harengus,5/6/2018,2,245,259,284,197.7,M,1.13,42.5,147.6,1.87,0.31,N,,,,,
201802,240,C. harengus,5/6/2018,3,248,261,282,168.1,M,2.31,1.67,153.1,2.08,0.18,N,,,,,
201802,240,S. scombrus,5/6/2018,1,234,250,268,141.9,M,1.9,4.9,125,2.48,0.57,N,,,,,
201802,240,A. pseudoharengus,5/6/2018,1*,174,189,211,85,M,1.53,0.09,74.9,2.09,1.2,N,"Did not record subtracted weight of empty stomach from full. Large gash in belly/side, possible loss of blood vessels",,,,
201802,240,A. pseudoharengus,5/6/2018,2,224,239,265,181.1,M,2.11,5.93,61.5,3.33,1.77,N,Laceration on flank lost a little muscle/blood,,,,
201802,240,A. pseudoharengus,5/6/2018,3,189,201,223,107.4,F,1.87,1.25,96.9,1.73,0.66,N,,,,,
